algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;388.623;199990000;0
Cycle Sort;crescente;20000;2;385.302;199990000;0
Cycle Sort;crescente;20000;3;386.487;199990000;0
Cycle Sort;crescente;20000;4;384.443;199990000;0
Cycle Sort;crescente;20000;5;383.827;199990000;0
Cycle Sort;crescente;20000;6;385.895;199990000;0
Cycle Sort;crescente;20000;7;384.294;199990000;0
Cycle Sort;crescente;20000;8;383.784;199990000;0
Cycle Sort;crescente;20000;9;384.836;199990000;0
Cycle Sort;crescente;20000;10;383.994;199990000;0
Cycle Sort;crescente;20000;11;387.206;199990000;0
Cycle Sort;decrescente;20000;1;729.355;349985000;20000
Cycle Sort;decrescente;20000;2;721.531;349985000;20000
Cycle Sort;decrescente;20000;3;680.175;349985000;20000
Cycle Sort;decrescente;20000;4;680.296;349985000;20000
Cycle Sort;decrescente;20000;5;681.684;349985000;20000
Cycle Sort;decrescente;20000;6;699.321;349985000;20000
Cycle Sort;decrescente;20000;7;679.612;349985000;20000
Cycle Sort;decrescente;20000;8;679.648;349985000;20000
Cycle Sort;decrescente;20000;9;679.869;349985000;20000
Cycle Sort;decrescente;20000;10;680.441;349985000;20000
Cycle Sort;decrescente;20000;11;686.021;349985000;20000
Cycle Sort;aleatorio;20000;1;1595.847;599634893;20000
Cycle Sort;aleatorio;20000;2;1497.235;599343323;19998
Cycle Sort;aleatorio;20000;3;1486.403;599805461;19998
Cycle Sort;aleatorio;20000;4;1465.229;599489263;19999
Cycle Sort;aleatorio;20000;5;1436.341;599521146;19999
Cycle Sort;aleatorio;20000;6;1427.280;599552873;19999
Cycle Sort;aleatorio;20000;7;1444.792;599783308;20000
Cycle Sort;aleatorio;20000;8;1446.801;599783500;19999
Cycle Sort;aleatorio;20000;9;1491.866;599683418;19999
Cycle Sort;aleatorio;20000;10;1445.489;599539836;19998
Cycle Sort;aleatorio;20000;11;1468.977;599436875;19997
Cycle Sort;crescente;40000;1;1540.197;799980000;0
Cycle Sort;crescente;40000;2;1470.089;799980000;0
Cycle Sort;crescente;40000;3;1487.378;799980000;0
Cycle Sort;crescente;40000;4;1503.934;799980000;0
Cycle Sort;crescente;40000;5;1495.181;799980000;0
Cycle Sort;crescente;40000;6;1503.639;799980000;0
Cycle Sort;crescente;40000;7;1505.607;799980000;0
Cycle Sort;crescente;40000;8;1502.918;799980000;0
Cycle Sort;crescente;40000;9;1462.474;799980000;0
Cycle Sort;crescente;40000;10;1416.997;799980000;0
Cycle Sort;crescente;40000;11;1424.028;799980000;0
Cycle Sort;decrescente;40000;1;2669.448;1399970000;40000
Cycle Sort;decrescente;40000;2;2731.579;1399970000;40000
Cycle Sort;decrescente;40000;3;2722.144;1399970000;40000
Cycle Sort;decrescente;40000;4;2708.199;1399970000;40000
Cycle Sort;decrescente;40000;5;2644.919;1399970000;40000
Cycle Sort;decrescente;40000;6;2549.275;1399970000;40000
Cycle Sort;decrescente;40000;7;2701.913;1399970000;40000
Cycle Sort;decrescente;40000;8;2709.373;1399970000;40000
Cycle Sort;decrescente;40000;9;2697.047;1399970000;40000
Cycle Sort;decrescente;40000;10;2692.222;1399970000;40000
Cycle Sort;decrescente;40000;11;2672.716;1399970000;40000
Cycle Sort;aleatorio;40000;1;5955.803;2399636457;40000
Cycle Sort;aleatorio;40000;2;5782.172;2399200595;40000
Cycle Sort;aleatorio;40000;3;5993.888;2398844322;39998
Cycle Sort;aleatorio;40000;4;6065.960;2399291307;39998
Cycle Sort;aleatorio;40000;5;6044.744;2399019269;39998
Cycle Sort;aleatorio;40000;6;5754.426;2398964316;39999
Cycle Sort;aleatorio;40000;7;5849.924;2399308983;39998
Cycle Sort;aleatorio;40000;8;5859.471;2399450616;39999
Cycle Sort;aleatorio;40000;9;5960.199;2398807496;39998
Cycle Sort;aleatorio;40000;10;6055.721;2399090726;40000
Cycle Sort;aleatorio;40000;11;6060.116;2399055904;39996
Cycle Sort;crescente;60000;1;3428.835;1799970000;0
Cycle Sort;crescente;60000;2;3394.473;1799970000;0
Cycle Sort;crescente;60000;3;3274.283;1799970000;0
Cycle Sort;crescente;60000;4;3488.800;1799970000;0
Cycle Sort;crescente;60000;5;3343.021;1799970000;0
Cycle Sort;crescente;60000;6;3448.619;1799970000;0
Cycle Sort;crescente;60000;7;3434.190;1799970000;0
Cycle Sort;crescente;60000;8;3390.180;1799970000;0
Cycle Sort;crescente;60000;9;3386.285;1799970000;0
Cycle Sort;crescente;60000;10;3227.768;1799970000;0
Cycle Sort;crescente;60000;11;3473.854;1799970000;0
Cycle Sort;decrescente;60000;1;5920.446;3149955000;60000
Cycle Sort;decrescente;60000;2;5957.399;3149955000;60000
Cycle Sort;decrescente;60000;3;6071.606;3149955000;60000
Cycle Sort;decrescente;60000;4;6038.703;3149955000;60000
Cycle Sort;decrescente;60000;5;6024.601;3149955000;60000
Cycle Sort;decrescente;60000;6;6116.430;3149955000;60000
Cycle Sort;decrescente;60000;7;6213.241;3149955000;60000
Cycle Sort;decrescente;60000;8;6448.503;3149955000;60000
Cycle Sort;decrescente;60000;9;6122.701;3149955000;60000
Cycle Sort;decrescente;60000;10;6344.088;3149955000;60000
Cycle Sort;decrescente;60000;11;6349.081;3149955000;60000
Cycle Sort;aleatorio;60000;1;13578.498;5398675242;60000
Cycle Sort;aleatorio;60000;2;13426.371;5398707322;59998
Cycle Sort;aleatorio;60000;3;13740.043;5397818089;59996
Cycle Sort;aleatorio;60000;4;13687.102;5398203346;60000
Cycle Sort;aleatorio;60000;5;13121.807;5398188246;59997
Cycle Sort;aleatorio;60000;6;13385.789;5398150496;59999
Cycle Sort;aleatorio;60000;7;13744.478;5398970911;59998
Cycle Sort;aleatorio;60000;8;12692.168;5398766925;59998
Cycle Sort;aleatorio;60000;9;13664.487;5398448095;59997
Cycle Sort;aleatorio;60000;10;13421.884;5398795877;59998
Cycle Sort;aleatorio;60000;11;14664.049;5399324388;59999

ESTATISTICAS (descartadas as 1 primeiras repeticoes)
algoritmo;cenario;tamanho;media_tempo_ms;desvio_tempo_ms;media_comparacoes;media_trocas
Cycle Sort;crescente;20000;385.007;1.126;199990000.00;0.00
Cycle Sort;decrescente;20000;686.860;12.912;349985000.00;20000.00
Cycle Sort;aleatorio;20000;1461.041;23.329;599593900.30;19998.60
Cycle Sort;crescente;40000;1477.225;31.667;799980000.00;0.00
Cycle Sort;decrescente;40000;2682.939;50.300;1399970000.00;40000.00
Cycle Sort;aleatorio;40000;5942.662;114.823;2399103353.40;39998.40
Cycle Sort;crescente;60000;3386.147;79.990;1799970000.00;0.00
Cycle Sort;decrescente;60000;6168.635;154.971;3149955000.00;60000.00
