algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Cycle Sort;crescente;20000;1;191.431;199990000;0
Cycle Sort;crescente;20000;2;192.930;199990000;0
Cycle Sort;crescente;20000;3;192.530;199990000;0
Cycle Sort;crescente;20000;4;192.097;199990000;0
Cycle Sort;crescente;20000;5;195.268;199990000;0
Cycle Sort;crescente;20000;6;193.286;199990000;0
Cycle Sort;crescente;20000;7;197.671;199990000;0
Cycle Sort;crescente;20000;8;187.696;199990000;0
Cycle Sort;crescente;20000;9;192.783;199990000;0
Cycle Sort;crescente;20000;10;188.691;199990000;0
Cycle Sort;crescente;20000;11;188.502;199990000;0
Cycle Sort;decrescente;20000;1;364.454;349985000;20000
Cycle Sort;decrescente;20000;2;363.251;349985000;20000
Cycle Sort;decrescente;20000;3;376.711;349985000;20000
Cycle Sort;decrescente;20000;4;374.771;349985000;20000
Cycle Sort;decrescente;20000;5;372.907;349985000;20000
Cycle Sort;decrescente;20000;6;365.999;349985000;20000
Cycle Sort;decrescente;20000;7;362.807;349985000;20000
Cycle Sort;decrescente;20000;8;370.328;349985000;20000
Cycle Sort;decrescente;20000;9;363.565;349985000;20000
Cycle Sort;decrescente;20000;10;364.684;349985000;20000
Cycle Sort;decrescente;20000;11;372.954;349985000;20000
Cycle Sort;aleatorio;20000;1;1163.393;599743834;19998
Cycle Sort;aleatorio;20000;2;1164.578;599346958;19998
Cycle Sort;aleatorio;20000;3;1149.375;599500009;20000
Cycle Sort;aleatorio;20000;4;1159.754;599826994;20000
Cycle Sort;aleatorio;20000;5;1159.438;599648558;20000
Cycle Sort;aleatorio;20000;6;1170.107;599648692;19999
Cycle Sort;aleatorio;20000;7;1148.566;599727653;20000
Cycle Sort;aleatorio;20000;8;1144.932;599571601;20000
Cycle Sort;aleatorio;20000;9;1138.243;599443997;19998
Cycle Sort;aleatorio;20000;10;1145.712;599725337;20000
Cycle Sort;aleatorio;20000;11;1154.380;599491447;19997
Cycle Sort;crescente;40000;1;780.539;799980000;0
Cycle Sort;crescente;40000;2;779.543;799980000;0
Cycle Sort;crescente;40000;3;772.850;799980000;0
Cycle Sort;crescente;40000;4;777.328;799980000;0
Cycle Sort;crescente;40000;5;776.813;799980000;0
Cycle Sort;crescente;40000;6;771.705;799980000;0
Cycle Sort;crescente;40000;7;778.025;799980000;0
Cycle Sort;crescente;40000;8;771.860;799980000;0
Cycle Sort;crescente;40000;9;772.151;799980000;0
Cycle Sort;crescente;40000;10;776.420;799980000;0
Cycle Sort;crescente;40000;11;770.578;799980000;0
Cycle Sort;decrescente;40000;1;1459.632;1399970000;40000
Cycle Sort;decrescente;40000;2;1455.537;1399970000;40000
Cycle Sort;decrescente;40000;3;1448.774;1399970000;40000
Cycle Sort;decrescente;40000;4;1451.168;1399970000;40000
Cycle Sort;decrescente;40000;5;1446.467;1399970000;40000
Cycle Sort;decrescente;40000;6;1438.209;1399970000;40000
Cycle Sort;decrescente;40000;7;1451.328;1399970000;40000
Cycle Sort;decrescente;40000;8;1452.839;1399970000;40000
