algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;1.023;165243;0
Shell Sort;crescente;20000;2;0.576;165243;0
Shell Sort;crescente;20000;3;0.574;165243;0
Shell Sort;crescente;20000;4;0.559;165243;0
Shell Sort;crescente;20000;5;0.558;165243;0
Shell Sort;crescente;20000;6;0.558;165243;0
Shell Sort;crescente;20000;7;0.572;165243;0
Shell Sort;crescente;20000;8;0.573;165243;0
Shell Sort;crescente;20000;9;0.577;165243;0
Shell Sort;crescente;20000;10;0.561;165243;0
Shell Sort;crescente;20000;11;0.582;165243;0
Shell Sort;decrescente;20000;1;1.395;261067;113812
Shell Sort;decrescente;20000;2;0.962;261067;113812
Shell Sort;decrescente;20000;3;0.929;261067;113812
Shell Sort;decrescente;20000;4;0.930;261067;113812
Shell Sort;decrescente;20000;5;0.946;261067;113812
Shell Sort;decrescente;20000;6;0.943;261067;113812
Shell Sort;decrescente;20000;7;0.927;261067;113812
Shell Sort;decrescente;20000;8;0.926;261067;113812
Shell Sort;decrescente;20000;9;0.971;261067;113812
Shell Sort;decrescente;20000;10;0.928;261067;113812
Shell Sort;decrescente;20000;11;1.046;261067;113812
Shell Sort;aleatorio;20000;1;3.090;553256;397650
Shell Sort;aleatorio;20000;2;2.884;546377;390855
Shell Sort;aleatorio;20000;3;2.961;567616;411967
Shell Sort;aleatorio;20000;4;2.982;513020;357369
Shell Sort;aleatorio;20000;5;3.082;547773;392092
Shell Sort;aleatorio;20000;6;2.903;543066;387277
Shell Sort;aleatorio;20000;7;2.916;543941;388262
Shell Sort;aleatorio;20000;8;2.927;551788;396088
Shell Sort;aleatorio;20000;9;2.901;539406;383727
Shell Sort;aleatorio;20000;10;2.975;557529;401822
Shell Sort;aleatorio;20000;11;2.895;535587;380013
Shell Sort;crescente;40000;1;1.383;355719;0
Shell Sort;crescente;40000;2;1.368;355719;0
Shell Sort;crescente;40000;3;1.269;355719;0
Shell Sort;crescente;40000;4;1.251;355719;0
Shell Sort;crescente;40000;5;1.218;355719;0
Shell Sort;crescente;40000;6;1.293;355719;0
Shell Sort;crescente;40000;7;1.315;355719;0
Shell Sort;crescente;40000;8;1.226;355719;0
Shell Sort;crescente;40000;9;1.310;355719;0
Shell Sort;crescente;40000;10;1.263;355719;0
Shell Sort;crescente;40000;11;1.435;355719;0
Shell Sort;decrescente;40000;1;2.370;559283;221344
Shell Sort;decrescente;40000;2;2.123;559283;221344
Shell Sort;decrescente;40000;3;2.830;559283;221344
Shell Sort;decrescente;40000;4;2.357;559283;221344
Shell Sort;decrescente;40000;5;2.257;559283;221344
Shell Sort;decrescente;40000;6;2.076;559283;221344
Shell Sort;decrescente;40000;7;2.058;559283;221344
Shell Sort;decrescente;40000;8;2.095;559283;221344
Shell Sort;decrescente;40000;9;2.219;559283;221344
Shell Sort;decrescente;40000;10;2.109;559283;221344
Shell Sort;decrescente;40000;11;2.095;559283;221344
Shell Sort;aleatorio;40000;1;7.703;1337299;997994
Shell Sort;aleatorio;40000;2;6.764;1223685;884193
Shell Sort;aleatorio;40000;3;7.639;1339060;999739
Shell Sort;aleatorio;40000;4;6.897;1284250;944941
Shell Sort;aleatorio;40000;5;6.991;1255635;916318
Shell Sort;aleatorio;40000;6;6.753;1226017;886737
Shell Sort;aleatorio;40000;7;7.218;1327009;987684
Shell Sort;aleatorio;40000;8;6.942;1280947;941565
Shell Sort;aleatorio;40000;9;6.830;1242107;902907
Shell Sort;aleatorio;40000;10;6.921;1291123;951855
Shell Sort;aleatorio;40000;11;6.741;1226055;886942
Shell Sort;crescente;60000;1;2.209;555719;0
Shell Sort;crescente;60000;2;2.080;555719;0
Shell Sort;crescente;60000;3;2.126;555719;0
Shell Sort;crescente;60000;4;2.002;555719;0
Shell Sort;crescente;60000;5;1.994;555719;0
Shell Sort;crescente;60000;6;2.329;555719;0
Shell Sort;crescente;60000;7;2.046;555719;0
Shell Sort;crescente;60000;8;2.022;555719;0
Shell Sort;crescente;60000;9;2.039;555719;0
Shell Sort;crescente;60000;10;2.059;555719;0
Shell Sort;crescente;60000;11;2.088;555719;0
Shell Sort;decrescente;60000;1;3.247;863734;361978
Shell Sort;decrescente;60000;2;3.229;863734;361978
Shell Sort;decrescente;60000;3;3.241;863734;361978
Shell Sort;decrescente;60000;4;3.320;863734;361978
Shell Sort;decrescente;60000;5;3.182;863734;361978
Shell Sort;decrescente;60000;6;3.331;863734;361978
Shell Sort;decrescente;60000;7;3.217;863734;361978
Shell Sort;decrescente;60000;8;3.240;863734;361978
Shell Sort;decrescente;60000;9;3.191;863734;361978
Shell Sort;decrescente;60000;10;3.217;863734;361978
Shell Sort;decrescente;60000;11;3.247;863734;361978
Shell Sort;aleatorio;60000;1;10.837;1988168;1461194
Shell Sort;aleatorio;60000;2;11.076;2098023;1571309
Shell Sort;aleatorio;60000;3;10.691;1999008;1472239
Shell Sort;aleatorio;60000;4;10.842;2018872;1491958
Shell Sort;aleatorio;60000;5;10.902;2051473;1524671
Shell Sort;aleatorio;60000;6;11.084;2110413;1583562
Shell Sort;aleatorio;60000;7;11.057;2025115;1498172
Shell Sort;aleatorio;60000;8;11.051;2072367;1545545
Shell Sort;aleatorio;60000;9;11.048;2154861;1627798
Shell Sort;aleatorio;60000;10;10.666;2018361;1491543
Shell Sort;aleatorio;60000;11;10.726;2038910;1511982

ESTATISTICAS (descartadas as 1 primeiras repeticoes)
algoritmo;cenario;tamanho;media_tempo_ms;desvio_tempo_ms;media_comparacoes;media_trocas
Shell Sort;crescente;20000;0.569;0.009;165243.00;0.00
Shell Sort;decrescente;20000;0.951;0.035;261067.00;113812.00
Shell Sort;aleatorio;20000;2.943;0.057;544610.30;388947.20
Shell Sort;crescente;40000;1.295;0.063;355719.00;0.00
Shell Sort;decrescente;40000;2.222;0.222;559283.00;221344.00
Shell Sort;aleatorio;40000;6.970;0.261;1269588.80;930288.10
Shell Sort;crescente;60000;2.079;0.092;555719.00;0.00
Shell Sort;decrescente;60000;3.242;0.047;863734.00;361978.00
Shell Sort;aleatorio;60000;10.914;0.163;2058740.30;1531877.90
