algoritmo;cenario;tamanho;repeticao;tempo_ms;comparacoes;trocas
Shell Sort;crescente;20000;1;0.600;165243;0
Shell Sort;crescente;20000;2;0.579;165243;0
Shell Sort;crescente;20000;3;0.578;165243;0
Shell Sort;crescente;20000;4;0.590;165243;0
Shell Sort;crescente;20000;5;0.626;165243;0
Shell Sort;crescente;20000;6;0.579;165243;0
Shell Sort;crescente;20000;7;0.579;165243;0
Shell Sort;crescente;20000;8;0.578;165243;0
Shell Sort;crescente;20000;9;0.592;165243;0
Shell Sort;crescente;20000;10;0.598;165243;0
Shell Sort;crescente;20000;11;0.582;165243;0
Shell Sort;decrescente;20000;1;0.966;261067;113812
Shell Sort;decrescente;20000;2;0.955;261067;113812
Shell Sort;decrescente;20000;3;0.939;261067;113812
Shell Sort;decrescente;20000;4;1.026;261067;113812
Shell Sort;decrescente;20000;5;0.987;261067;113812
Shell Sort;decrescente;20000;6;0.976;261067;113812
Shell Sort;decrescente;20000;7;0.999;261067;113812
Shell Sort;decrescente;20000;8;0.946;261067;113812
Shell Sort;decrescente;20000;9;0.988;261067;113812
Shell Sort;decrescente;20000;10;1.178;261067;113812
Shell Sort;decrescente;20000;11;1.061;261067;113812
Shell Sort;aleatorio;20000;1;3.592;621449;465779
Shell Sort;aleatorio;20000;2;3.325;535361;379735
Shell Sort;aleatorio;20000;3;2.984;525842;370259
Shell Sort;aleatorio;20000;4;3.094;547813;392219
Shell Sort;aleatorio;20000;5;2.992;542098;386418
Shell Sort;aleatorio;20000;6;3.420;534309;378687
Shell Sort;aleatorio;20000;7;3.063;527979;372336
Shell Sort;aleatorio;20000;8;3.015;548048;392320
Shell Sort;aleatorio;20000;9;2.986;545528;389856
Shell Sort;aleatorio;20000;10;3.231;553390;397786
Shell Sort;aleatorio;20000;11;3.047;546520;390834
Shell Sort;crescente;40000;1;1.622;355719;0
Shell Sort;crescente;40000;2;1.416;355719;0
Shell Sort;crescente;40000;3;1.360;355719;0
Shell Sort;crescente;40000;4;1.505;355719;0
Shell Sort;crescente;40000;5;1.468;355719;0
Shell Sort;crescente;40000;6;1.382;355719;0
Shell Sort;crescente;40000;7;1.388;355719;0
Shell Sort;crescente;40000;8;1.336;355719;0
Shell Sort;crescente;40000;9;1.362;355719;0
Shell Sort;crescente;40000;10;1.306;355719;0
Shell Sort;crescente;40000;11;1.380;355719;0
Shell Sort;decrescente;40000;1;2.530;559283;221344
Shell Sort;decrescente;40000;2;2.244;559283;221344
Shell Sort;decrescente;40000;3;2.064;559283;221344
Shell Sort;decrescente;40000;4;2.194;559283;221344
Shell Sort;decrescente;40000;5;2.296;559283;221344
Shell Sort;decrescente;40000;6;2.298;559283;221344
Shell Sort;decrescente;40000;7;2.309;559283;221344
Shell Sort;decrescente;40000;8;2.228;559283;221344
Shell Sort;decrescente;40000;9;2.207;559283;221344
Shell Sort;decrescente;40000;10;2.124;559283;221344
Shell Sort;decrescente;40000;11;2.315;559283;221344
Shell Sort;aleatorio;40000;1;7.361;1256117;916807
Shell Sort;aleatorio;40000;2;7.323;1344482;1005110
Shell Sort;aleatorio;40000;3;7.453;1310183;970813
Shell Sort;aleatorio;40000;4;6.799;1251487;912189
Shell Sort;aleatorio;40000;5;7.185;1294314;954975
Shell Sort;aleatorio;40000;6;7.066;1280571;941235
Shell Sort;aleatorio;40000;7;7.254;1305547;966197
Shell Sort;aleatorio;40000;8;6.810;1241451;902233
Shell Sort;aleatorio;40000;9;6.962;1272296;932999
Shell Sort;aleatorio;40000;10;7.028;1222831;883539
Shell Sort;aleatorio;40000;11;6.769;1268226;928868
Shell Sort;crescente;60000;1;2.031;555719;0
Shell Sort;crescente;60000;2;2.018;555719;0
Shell Sort;crescente;60000;3;2.031;555719;0
Shell Sort;crescente;60000;4;2.012;555719;0
Shell Sort;crescente;60000;5;2.070;555719;0
Shell Sort;crescente;60000;6;2.056;555719;0
Shell Sort;crescente;60000;7;2.039;555719;0
Shell Sort;crescente;60000;8;2.063;555719;0
Shell Sort;crescente;60000;9;2.028;555719;0
Shell Sort;crescente;60000;10;2.050;555719;0
Shell Sort;crescente;60000;11;2.082;555719;0
